n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2
0,1,1,1,1,1,1,4194304,0,1.649372,91
1,1,1,1,1,1,2,2097152,0,1.62176,112
2,1,1,1,1,1,4,1048576,0,1.648192,189
3,1,1,1,1,2,1,4194304,0,1.542724,76
4,1,1,1,1,2,2,2097152,0,1.626726,119
5,1,1,1,1,2,4,1048576,0,1.553106,132
6,1,1,1,1,4,1,4194304,0,1.997993,116
7,1,1,1,1,4,2,2097152,0,2.038104,129
8,1,1,1,1,4,4,1048576,0,1.956702,166
9,1,1,1,1,8,1,4194304,0,1.830879,115
10,1,1,1,1,8,2,2097152,0,1.873348,161
11,1,1,1,1,8,4,1048576,0,1.929501,234
12,1,1,1,2,1,1,4194304,0,1.554265,77
13,1,1,1,2,1,2,2097152,0,1.636627,102
14,1,1,1,2,1,4,1048576,0,1.783652,141
15,1,1,1,2,2,1,4194304,0,2.111156,118
16,1,1,1,2,2,2,2097152,0,1.855845,138
17,1,1,1,2,2,4,1048576,0,2.136168,216
18,1,1,1,2,4,1,4194304,0,1.808055,136
19,1,1,1,2,4,2,2097152,0,2.050844,176
20,1,1,1,2,4,4,1048576,0,1.825987,230
21,1,1,1,2,8,1,4194304,0,1.872639,150
22,1,1,1,2,8,2,2097152,0,1.977396,207
23,1,1,1,2,8,4,1048576,0,2.065637,342
24,1,1,1,4,1,1,4194304,0,2.04301,106
25,1,1,1,4,1,2,2097152,0,1.97174,142
26,1,1,1,4,1,4,1048576,0,1.877106,181
27,1,1,1,4,2,1,4194304,0,1.763347,140
28,1,1,1,4,2,2,2097152,0,1.941499,186
29,1,1,1,4,2,4,1048576,0,1.814787,299
30,1,1,1,4,4,1,4194304,0,1.909747,172
31,1,1,1,4,4,2,2097152,0,2.140739,250
32,1,1,1,4,4,4,1048576,0,1.904321,318
33,1,1,1,4,8,1,4194304,0,1.945072,218
34,1,1,1,4,8,2,2097152,0,1.940353,293
35,1,1,1,4,8,4,1048576,0,2.067523,472
36,1,1,1,8,1,1,4194304,0,1.973392,143
37,1,1,1,8,1,2,2097152,0,1.838402,156
38,1,1,1,8,1,4,1048576,0,1.999823,272
39,1,1,1,8,2,1,4194304,0,1.98468,183
40,1,1,1,8,2,2,2097152,0,2.07293,252
41,1,1,1,8,2,4,1048576,0,2.031164,391
42,1,1,1,8,4,1,4194304,0,2.0289,253
43,1,1,1,8,4,2,2097152,0,1.910455,368
44,1,1,1,8,4,4,1048576,0,2.113133,501
45,1,1,2,1,1,1,4194304,0,1.650303,88
46,1,1,2,1,1,2,2097152,0,1.607121,115
47,1,1,2,1,1,4,1048576,0,1.671659,192
48,1,1,2,1,2,1,4194304,0,1.737832,104
49,1,1,2,1,2,2,2097152,0,1.613467,162
50,1,1,2,1,2,4,1048576,0,1.609947,189
51,1,1,2,1,4,1,4194304,0,1.974458,136
52,1,1,2,1,4,2,2097152,0,2.088256,235
53,1,1,2,1,4,4,1048576,0,2.067374,295
54,1,1,2,1,8,1,4194304,0,2.029761,193
55,1,1,2,1,8,2,2097152,0,1.947876,315
56,1,1,2,1,8,4,1048576,0,1.874907,333
57,1,1,2,2,1,1,4194304,0,1.764124,108
58,1,1,2,2,1,2,2097152,0,1.946708,145
59,1,1,2,2,1,4,1048576,0,1.813173,196
60,1,1,2,2,2,1,4194304,0,2.084881,135
61,1,1,2,2,2,2,2097152,0,2.148002,193
62,1,1,2,2,2,4,1048576,0,1.973187,210
63,1,1,2,2,4,1,4194304,0,2.004725,186
64,1,1,2,2,4,2,2097152,0,1.857139,298
65,1,1,2,2,4,4,1048576,0,1.854558,358
66,1,1,2,2,8,1,4194304,0,2.003716,321
67,1,1,2,2,8,2,2097152,0,2.086305,651
68,1,1,2,2,8,4,1048576,0,1.9887,463
69,1,1,2,4,1,1,4194304,0,1.994583,141
70,1,1,2,4,1,2,2097152,0,1.995053,206
71,1,1,2,4,1,4,1048576,0,2.067336,255
72,1,1,2,4,2,1,4194304,0,1.905137,218
73,1,1,2,4,2,2,2097152,0,2.060711,304
74,1,1,2,4,2,4,1048576,0,1.893874,384
75,1,1,2,4,4,1,4194304,0,2.095528,329
76,1,1,2,4,4,2,2097152,0,2.05564,589
77,1,1,2,4,4,4,1048576,0,2.122746,502
78,1,1,2,4,8,1,4194304,0,2.045714,549
79,1,1,2,4,8,2,2097152,0,2.125018,728
80,1,1,2,4,8,4,1048576,0,2.174759,756
81,1,1,2,8,1,1,4194304,0,1.963605,192
82,1,1,2,8,1,2,2097152,0,1.924412,245
83,1,1,2,8,1,4,1048576,0,1.885924,342
84,1,1,2,8,2,1,4194304,0,1.945262,346
85,1,1,2,8,2,2,2097152,0,2.044051,526
86,1,1,2,8,2,4,1048576,0,2.117731,550
87,1,1,2,8,4,1,4194304,0,2.011059,507
88,1,1,2,8,4,2,2097152,0,2.110075,880
89,1,1,2,8,4,4,1048576,0,2.157002,719
90,1,1,4,1,1,1,4194304,0,1.601179,87
91,1,1,4,1,1,2,2097152,0,1.773875,145
92,1,1,4,1,1,4,1048576,0,1.483325,218
93,1,1,4,1,2,1,4194304,0,2.08607,147
94,1,1,4,1,2,2,2097152,0,1.957033,192
95,1,1,4,1,2,4,1048576,0,2.307978,297
96,1,1,4,1,4,1,4194304,0,1.820867,194
97,1,1,4,1,4,2,2097152,0,1.871965,243
98,1,1,4,1,4,4,1048576,0,1.953395,349
99,1,1,4,1,8,1,4194304,0,2.032888,260
100,1,1,4,1,8,2,2097152,0,1.906663,324
101,1,1,4,1,8,4,1048576,0,1.890564,469
102,1,1,4,2,1,1,4194304,0,2.28753,144
103,1,1,4,2,1,2,2097152,0,2.035253,230
104,1,1,4,2,1,4,1048576,0,2.166876,274
105,1,1,4,2,2,1,4194304,0,1.773392,188
106,1,1,4,2,2,2,2097152,0,1.986199,243
107,1,1,4,2,2,4,1048576,0,1.871162,407
108,1,1,4,2,4,1,4194304,0,1.955727,293
109,1,1,4,2,4,2,2097152,0,1.871264,353
110,1,1,4,2,4,4,1048576,0,1.97836,495
111,1,1,4,2,8,1,4194304,0,2.07815,375
112,1,1,4,2,8,2,2097152,0,2.133913,595
113,1,1,4,2,8,4,1048576,0,2.024254,684
114,1,1,4,4,1,1,4194304,0,1.900829,204
115,1,1,4,4,1,2,2097152,0,2.012149,254
116,1,1,4,4,1,4,1048576,0,1.858589,364
117,1,1,4,4,2,1,4194304,0,1.896129,296
118,1,1,4,4,2,2,2097152,0,1.985499,406
119,1,1,4,4,2,4,1048576,0,2.0282,501
120,1,1,4,4,4,1,4194304,0,2.124654,460
121,1,1,4,4,4,2,2097152,0,2.109488,571
122,1,1,4,4,4,4,1048576,0,2.04509,724
123,1,1,4,8,1,1,4194304,0,1.906663,310
124,1,1,4,8,1,2,2097152,0,2.113432,362
125,1,1,4,8,1,4,1048576,0,1.987177,520
126,1,1,4,8,2,1,4194304,0,1.93533,469
127,1,1,4,8,2,2,2097152,0,2.058067,724
128,1,1,4,8,2,4,1048576,0,2.105669,808
129,1,1,8,1,1,1,4194304,0,1.915666,133
130,1,1,8,1,1,2,2097152,0,2.055357,194
131,1,1,8,1,1,4,1048576,0,1.896932,292
132,1,1,8,1,2,1,4194304,0,1.802085,137
133,1,1,8,1,2,2,2097152,0,1.759767,200
134,1,1,8,1,2,4,1048576,0,1.793066,287
135,1,1,8,1,4,1,4194304,0,1.845659,224
136,1,1,8,1,4,2,2097152,0,1.979309,288
137,1,1,8,1,4,4,1048576,0,1.94185,451
138,1,1,8,1,8,1,4194304,0,1.999586,262
139,1,1,8,1,8,2,2097152,0,2.020858,405
140,1,1,8,1,8,4,1048576,0,1.897849,618
141,1,1,8,2,1,1,4194304,0,1.840731,157
142,1,1,8,2,1,2,2097152,0,1.786844,198
143,1,1,8,2,1,4,1048576,0,1.886755,290
144,1,1,8,2,2,1,4194304,0,1.912618,217
145,1,1,8,2,2,2,2097152,0,1.938286,294
146,1,1,8,2,2,4,1048576,0,1.988004,461
147,1,1,8,2,4,1,4194304,0,1.901153,296
148,1,1,8,2,4,2,2097152,0,2.04752,418
149,1,1,8,2,4,4,1048576,0,1.939999,654
150,1,1,8,4,1,1,4194304,0,1.878429,210
151,1,1,8,4,1,2,2097152,0,1.880741,289
152,1,1,8,4,1,4,1048576,0,1.901325,451
153,1,1,8,4,2,1,4194304,0,1.967885,316
154,1,1,8,4,2,2,2097152,0,2.00234,434
155,1,1,8,4,2,4,1048576,0,2.052752,627
156,1,1,8,8,1,1,4194304,0,1.888836,300
157,1,1,8,8,1,2,2097152,0,1.999386,462
158,1,1,8,8,1,4,1048576,0,2.010025,655
159,1,2,1,1,1,1,4194304,0,1.582949,81
160,1,2,1,1,1,2,2097152,0,1.624202,128
161,1,2,1,1,1,4,1048576,0,1.652254,147
162,1,2,1,1,2,1,4194304,0,1.623505,85
163,1,2,1,1,2,2,2097152,0,1.656974,105
164,1,2,1,1,2,4,1048576,0,1.678187,153
165,1,2,1,1,4,1,4194304,0,1.98611,130
166,1,2,1,1,4,2,2097152,0,2.231457,164
167,1,2,1,1,4,4,1048576,0,1.954764,207
168,1,2,1,1,8,1,4194304,0,1.897898,157
169,1,2,1,1,8,2,2097152,0,1.795615,208
170,1,2,1,1,8,4,1048576,0,1.879044,292
171,1,2,1,2,1,1,4194304,0,1.664512,93
172,1,2,1,2,1,2,2097152,0,1.716844,125
173,1,2,1,2,1,4,1048576,0,1.647067,148
174,1,2,1,2,2,1,4194304,0,1.888196,132
175,1,2,1,2,2,2,2097152,0,1.913651,182
176,1,2,1,2,2,4,1048576,0,1.969041,237
177,1,2,1,2,4,1,4194304,0,1.891835,181
178,1,2,1,2,4,2,2097152,0,1.89867,225
179,1,2,1,2,4,4,1048576,0,1.952642,319
180,1,2,1,2,8,1,4194304,0,1.9653,234
181,1,2,1,2,8,2,2097152,0,1.89554,279
182,1,2,1,2,8,4,1048576,0,1.90426,454
183,1,2,1,4,1,1,4194304,0,2.102975,119
184,1,2,1,4,1,2,2097152,0,1.978036,176
